Module,Type,Beneficence,Non-maleficence,Transparency,Autonomy,Justice,Coherence,Overall,Status
LLM_BUS,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
MEMORY_BUS,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
COMMUNICATION_BUS,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
WISE_BUS,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
TOOL_BUS,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
RUNTIME_CONTROL_BUS,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
MEMORY_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
CONFIG_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
TELEMETRY_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
AUDIT_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
INCIDENT_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
TSDB_CONSOLIDATION_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
TIME_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
SHUTDOWN_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
INITIALIZATION_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
AUTHENTICATION_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
RESOURCE_MONITOR_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
DATABASE_MAINTENANCE_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
SECRETS_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
WISE_AUTHORITY_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
ADAPTIVE_FILTER_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
VISIBILITY_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
SELF_OBSERVATION_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
LLM_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
RUNTIME_CONTROL_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
TASK_SCHEDULER_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
SECRETS_TOOL_SERVICE,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
SERVICE_REGISTRY_REGISTRY,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
CIRCUIT_BREAKER_COMPONENT,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
PROCESSING_QUEUE_COMPONENT,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
AGENT_PROCESSOR_PROCESSOR,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
SERVICE_INITIALIZER_COMPONENT,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
DISCORD_ADAPTER,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
API_ADAPTER,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
CLI_ADAPTER,UNKNOWN,0.000,0.000,0.000,0.000,0.000,0.000,0.000,BELOW_0.6
