Module,Type,Beneficence,Non-maleficence,Transparency,Autonomy,Justice,Coherence,Overall,Status
LLM_BUS,UNKNOWN,0.600,0.450,0.400,0.350,0.300,0.550,0.442,BELOW_0.6
MEMORY_BUS,UNKNOWN,0.560,0.360,0.320,0.270,0.350,0.520,0.397,BELOW_0.6
COMMUNICATION_BUS,UNKNOWN,0.600,0.430,0.520,0.380,0.420,0.560,0.485,BELOW_0.6
WISE_BUS,UNKNOWN,0.780,0.620,0.380,0.660,0.450,0.640,0.588,BELOW_0.6
TOOL_BUS,UNKNOWN,0.520,0.280,0.340,0.420,0.300,0.400,0.377,BELOW_0.6
RUNTIME_CONTROL_BUS,UNKNOWN,0.620,0.700,0.460,0.580,0.350,0.720,0.572,BELOW_0.6
MEMORY_SERVICE,UNKNOWN,0.760,0.580,0.780,0.600,0.550,0.750,0.670,PASS
CONFIG_SERVICE,UNKNOWN,0.650,0.500,0.720,0.580,0.560,0.680,0.615,PASS
TELEMETRY_SERVICE,UNKNOWN,0.700,0.550,0.580,0.400,0.450,0.680,0.560,BELOW_0.6
AUDIT_SERVICE,UNKNOWN,0.800,0.680,0.880,0.560,0.620,0.820,0.727,PASS
INCIDENT_SERVICE,UNKNOWN,0.700,0.640,0.680,0.550,0.450,0.720,0.623,PASS
TSDB_CONSOLIDATION_SERVICE,UNKNOWN,0.750,0.550,0.620,0.400,0.500,0.700,0.587,BELOW_0.6
TIME_SERVICE,UNKNOWN,0.780,0.700,0.620,0.830,0.640,0.800,0.728,PASS
SHUTDOWN_SERVICE,UNKNOWN,0.700,0.780,0.620,0.680,0.550,0.800,0.688,PASS
INITIALIZATION_SERVICE,UNKNOWN,0.640,0.560,0.520,0.490,0.500,0.650,0.560,BELOW_0.6
AUTHENTICATION_SERVICE,UNKNOWN,0.780,0.700,0.550,0.580,0.520,0.740,0.645,PASS
RESOURCE_MONITOR_SERVICE,UNKNOWN,0.720,0.670,0.460,0.420,0.380,0.700,0.558,BELOW_0.6
DATABASE_MAINTENANCE_SERVICE,UNKNOWN,0.660,0.520,0.580,0.400,0.620,0.640,0.570,BELOW_0.6
SECRETS_SERVICE,UNKNOWN,0.820,0.720,0.680,0.600,0.550,0.780,0.692,PASS
WISE_AUTHORITY_SERVICE,UNKNOWN,0.760,0.820,0.640,0.600,0.550,0.800,0.695,PASS
ADAPTIVE_FILTER_SERVICE,UNKNOWN,0.720,0.560,0.600,0.400,0.420,0.660,0.560,BELOW_0.6
VISIBILITY_SERVICE,UNKNOWN,0.740,0.560,0.880,0.580,0.460,0.690,0.652,PASS
SELF_OBSERVATION_SERVICE,UNKNOWN,0.760,0.680,0.820,0.640,0.550,0.800,0.708,PASS
LLM_SERVICE,UNKNOWN,0.660,0.570,0.630,0.590,0.420,0.680,0.592,BELOW_0.6
RUNTIME_CONTROL_SERVICE,UNKNOWN,0.740,0.690,0.710,0.610,0.550,0.760,0.677,PASS
TASK_SCHEDULER_SERVICE,UNKNOWN,0.600,0.450,0.550,0.570,0.350,0.540,0.510,BELOW_0.6
SECRETS_TOOL_SERVICE,UNKNOWN,0.640,0.420,0.520,0.480,0.440,0.580,0.513,BELOW_0.6
SERVICE_REGISTRY_REGISTRY,UNKNOWN,0.680,0.600,0.520,0.400,0.450,0.700,0.558,BELOW_0.6
CIRCUIT_BREAKER_COMPONENT,UNKNOWN,0.780,0.600,0.700,0.650,0.620,0.750,0.683,PASS
PROCESSING_QUEUE_COMPONENT,UNKNOWN,0.550,0.460,0.680,0.520,0.350,0.570,0.522,BELOW_0.6
AGENT_PROCESSOR_PROCESSOR,UNKNOWN,0.660,0.640,0.720,0.560,0.400,0.700,0.613,PASS
SERVICE_INITIALIZER_COMPONENT,UNKNOWN,0.680,0.820,0.840,0.620,0.450,0.740,0.692,PASS
DISCORD_ADAPTER,UNKNOWN,0.670,0.630,0.740,0.590,0.530,0.660,0.637,PASS
API_ADAPTER,UNKNOWN,0.720,0.650,0.780,0.580,0.500,0.700,0.655,PASS
CLI_ADAPTER,UNKNOWN,0.680,0.630,0.780,0.600,0.520,0.700,0.652,PASS
